,Class,Text,length
1556,0,good sleep rhythm person ha establish rhythm bodi learn use want know,127
1557,0,wat r u,14
1558,0,messag truro hospit ext phone phone side,97
1559,0,singl line big mean miss anyth ur best life,73
1560,0,got ga money ani chanc gang want go grand natur adventur,92
1561,0,dnt worri use ice piec cloth pack also take tablet,63
1562,0,dude saw park car sunroof pop sux,58
1563,0,get readi put excel sub face,46
1564,0,tmrw im finish door,26
1565,0,lt gt g saw day ago guy want sell wifi onli lt gt g lt gt whi blank,143
1566,0,late,29
1567,0,whatev im pretti piss,31
1568,0,today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156
1569,0,dont much imag class,37
1570,0,got rumour go buy apart chennai,63
1571,0,near kalainar tv offic thenampet,33
1572,1,ur cash balanc current pound maxim ur cash send go onli p msg cc hg suit land row w j hl,145
1573,1,sm auction brand new nokia auction today auction free join take part txt nokia hg suit land row w j hl,149
1574,0,si catch e show e afternoon watch w c u wan watch today tmr lor,104
1575,0,sound gd haha wah u yan jiu fast liao,58
1576,0,nosi guess idk react freak,62
1577,0,rememb hurt dure day satan impost need pay price may destini keep go u said pray get mind get,184
1578,0,make girl happi difficult make girl happi u onli need friend companion lover chef lt gt good listen lt gt organ lt gt good boyfriend lt gt veri clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam,611
1579,0,whi princess bet brotha chase,61
1580,0,shall book chez jule half eight ok,62
1581,0,hhahhaahahah rofl wtf nig wa leonardo room someth,64
1582,0,yep derek hou see sunday lt,47
1583,0,cool let know befor kick around lt gt day,92
1584,0,sorri call later,22
1585,0,wa wonder would okay call uncl john let know thing nigeria r lt gt dollar year sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,338
1586,0,charg transfer charg withdraw anyhow like,86
1587,0,dont search love let love find u whi call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,159
1588,0,let go bill miller,30
1589,0,love set soul fire spark flame big rawr flame xoxo,105
1590,0,somewhr someon sure made u god ha decid perfect time make u meet dat person till den enjoy ur crush,148
1591,0,honeymoon outfit,30
1592,0,help propo go back tomorrow,52
1593,1,privat account statement show un redeem point call identifi code expir,136
1594,0,never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,152
1595,0,pl confirm time collect chequ,43
1596,1,regist subscrib yr draw gift voucher b enter receipt correct next olymp txt,145
1597,1,urgent mobil number ha award prize guarant call land line claim valid hr onli ppm,143
1598,0,daddi take good care,35
1599,0,yeah probabl still gotta check leo,47
1600,0,k ani special,25
1601,0,carlo take hi sweet time usual let know patti done want smoke tell haul ass,127
1602,0,ok pa noth problem,25
1603,0,heard job go wildlif talk tonight u want come worzel wizzl whatev,143
1604,0,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid thi friend u,128
1605,0,came hostel,24
1606,0,ok prob come lunch,43
1607,0,ju tell u dat b leav shanghai st instead haf time meet cya,99
1608,0,freez home yet rememb kiss mom morn love think miss yet,152
1609,0,readi big day tomorrow,37
1610,0,probabl around mu lot,32
1611,0,,3
1612,1,rt king pro video club need help info ringtonek co uk call must club credit redeem www ringtonek co uk enjoy,153
1613,0,thnx dude u guy nite,28
1614,0,sef dey laugh meanwhil darl anji,55
1615,0,mm food da,28
1616,0,k make sen btw carlo difficult guy gonna smoke go pick second batch get ga,121
1617,0,u download fring app,29
1618,0,oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,115
1619,0,friend u stay fb chat,39
1620,0,fuck babe miss sooooo much wish sleep bed lone go sleep dream love,154
1621,0,live veri simpl love also simpl laugh simpl win tooo simpl simpl veri difficult gud nte,148
1622,1,u secret admir look make contact u find r reveal think ur special call,132
1623,0,ah well confu thing,44
1624,1,free text msg text ok credit account,71
1625,0,hi dear call urgnt know problem want work ani problem least tell wate repli,156
1626,0,dear ok,25
1627,1,select stay top british hotel noth holiday worth claim call london bx sw ss,146
1628,0,ye princess want make happi,41
1629,0,sound like mani talent would like go dinner date next week,83
1630,0,go film day da pm sorri da,45
1631,0,watch movi alreadi xy want shop shop w,73
1632,0,hello littl parti anim thought buzz friend grin remind love send naughti ador kiss,158
1633,0,yesterday onli go home,47
1634,1,eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight www getz co uk pobox w wq p,161
1635,0,come life brought sun shini warm heart put constant smile face make feel love care,159
1636,0,shit surpri went spent even french guy met town fool around bit let fuck,165
1637,1,network allow compani bill sm respon supplier,91
1638,0,great comedi cant stop laugh da,37
1639,1,freemsg feelin kinda lnli hope u like keep compani jst got cam mobi wanna c pic txt repli date msg p rcv hlp stop,160
1640,0,alright set text man,41
1641,0,hi keen go kind feel go tomo mind,136
1642,0,sleep nt feel well,24
1643,0,u switch fone dammit,35
1644,0,india take lead,25
1645,0,post l r class,31
1646,0,tht wat wright brother fli,36
1647,0,even v good somewhat event laden fill worri head ok throat wreck see six,132
1648,0,u laugh realli loud u talk spontan u dont care feel u probabl dear amp best friend goodeven dear,156
1649,0,laptop take,30
1650,0,dont ani file bag wa work call tell find anyth room,118
1651,0,wan earli lei outsid wun b home earli neva mind,82
1652,1,ur chanc win cash everi wk txt action c www movietrivia tv custcar x p wk,122
1653,0,wa bugi juz wat walk home oredi late repli oso saw top dat like din buy r,147
1654,0,wish famili merri x happi new year advanc,75
1655,0,go ok na,22
1656,0,ye post coupl pic fb still snow outsid wake,90
1657,0,one good partnership go take lead,61
1658,1,rgent thi nd attempt contact u u call b csbcm wc n xx callcost ppm mobilesvari max,146
1659,0,yeah class,28
1660,0,send bec templ na,42
1661,0,come home class right need work shower,75
1662,1,hi ur lookin sauci daytim fun wiv busti marri woman free next week chat sort time janinexx call minmobsmorelkpobox hp fl,159
1663,0,mostli like,27
1664,0,v fan,14
1665,0,dunno co wa v late n reach insid alreadi ate spageddi lor e gal r laugh lor,129
1666,0,guess spent last night phase fourth dimen,73
1667,0,dad gonna call get work ask crazi question,88
1668,0,ye said,27
1669,0,veri hurt n mean line ever compromi everyth love,75
1670,0,lmao nice,11
1671,0,glad see repli,23
1672,1,urgent tri contact u today draw show prize guarant call land line claim valid hr onli,157
1673,1,monthli password wap mobsi com use wap phone pc,73
1674,0,nah dub je still buff,25
1675,0,pain word thought happi wa toughest thing earth,81
1676,0,yeah fine get ok,50
1677,0,lol u come idea,40
1678,0,mani peopl seem special first sight onli veri remain special till last sight maintain till life end sh ja,156
1679,0,today song dedic day song u dedic send thi ur valuabl frnd first rpli,124
1680,0,okay wait ah,18
1681,0,lei,6
1682,0,hi babe u r like bed im sorri tonight realli wanna see u tomorrow call love xxx,126
1683,0,alreadi squat new way walk,46
1684,0,want bold bb torch,30
1685,0,cramp stop go back sleep,35
1686,1,today vodafon number end last four digit select receiv award number match plea call claim award,172
1687,1,free top rington sub weekli rington get st week free send subpoli per week stop sm,114
1688,0,nan sonathaya soladha whi boss,32
1689,0,bring tat cd forget,23
1690,1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,125
1691,0,know rape dude poker,42
1692,0,weightloss girl friend make load money ebay someth give thank god,99
1693,0,wa gr see messag r u leav congrat dear school wat r ur plan,96
1694,0,eatin later eatin wif fren lei go home first,74
1695,0,finish alreadi yar keep say mushi embarrass ok,72
1696,0,sorri man stash ran dri last night pick sunday,76
1697,0,hai priya right doctor said pa,60
1698,1,free msg sorri servic order could deliv suffici credit plea top receiv servic,148
1699,0,ok,5
1700,0,plea ask mummi call father,31
1701,0,come room cannot come hou co hou still messi haha,77
1702,0,lost kilo today,33
1703,0,tast fish curri p,25
1704,0,might accid tookplac somewh ghodbandar rd traffic move slove plz slip amp worri,126
1705,0,yun ah wkg btw go nu sc wana speciali wad,71
1706,0,ye one woman man plea tell like dislik bed,75
1707,0,wa test earlier appreci call tomorrow,68
1708,0,loverboy doe keep come hi queen hmmm ach speak miss despar,144
1709,0,u meet fren dun wan meet ah muz b guy rite,59
1710,0,promi though even gotten dinner yet,60
1711,0,got back ani dislik bed,49
1712,0,turn stereo love mi phone unknown album,66
1713,1,hard live chat p min choo girl connect live call cheap chat uk biggest live servic vu bcm wc n xx,145
1714,0,yeah see whi,24
1715,0,ask u knw nt may ur frnd classmat,58
1716,0,sorri earlier put fire around talk actual life lol,107
1717,1,wow boy r back take uk tour win vip ticket pre book vip club txt club trackmarqu ltd info vipclub u,138
1718,0,missionari hook doggi hook stand,53
1719,0,u better go sleep dun disturb u liao u wake msg lor,73
1720,0,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose,149
1721,0,watch hou veri entertain get whole hugh lauri thing even stick ind especi stick,144
1722,0,thought prap meant anoth one goodo look tomorrow,63
1723,0,hi jon pete ive bin spain recent hav sum dinero left bill said u ur rent mayb interest hav pe around tb jame,158
1724,0,bold lt gt,39
1725,0,know shall speak lt gt minut,67
1726,0,alrit hunni wot u nite didnt end goin town ju da pub instead ju chillin da mo bedroom love jen xxx,131
1727,0,went project centr,24
1728,0,per request maangalyam alaipayuth ha set callertun caller press copi friend callertun,136
1729,0,lol yeah thi point guess,34
1730,0,project w fren lor,27
1731,0,lol well qualiti aint bad aint complain,55
1732,0,k happen tonight,27
1733,1,hi thi mandi sullivan call hotmix fm chosen receiv easter prize draw plea telephon claim befor prize transfer someon el,223
1734,0,think go finn come,39
1735,0,whi tire special,36
1736,0,come tomorrow di,23
1737,0,cant pick phone right pl send messag,51
1738,0,k go sleep well take rest,34
1739,0,u guy never invit anywh,34
1740,1,ur go bahama callfreefon speak live oper claim either bahama crui cash onli opt txt x,158
1741,0,want plea insid outsid bedroom,74
1742,0,ey calm downon theacu itxt u co iwana know wotu r doin thew end haventcn u age ring ur neth sat love j xxx,146
1743,0,love wine dine ladi,32
1744,1,someon ha conact date servic enter phone becau fanci find call landlin pobox n tf,155
1745,0,cool ta luv v tire cau doin load plan wk got social servic inspect nurseri take care spk sn x,160
1746,0,know account detail ask mom send mom reach,86
1747,0,think u wrong number,32
1748,0,feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,166
1749,0,b late love mum,22
1750,0,got mail panren paru,26
1751,0,wa think chuckin ur red green n black trainner save carryin bac train,92
1752,0,give one miss number plea,37
1753,0,ju came back fr lunch wif si onli u leh,46
1754,0,schedul next week town thi weekend,62
1755,0,realli good dhanush rock onc,39
1756,0,lmao ok wont need u hair anymor,50
1757,0,miss ya need ya want ya love ya,35
1758,0,sorri free,21
1759,0,u ever get song stuck head reason go away til u listen like time,107
1760,0,nt yet chikku simpl habba hw abt u,38
1761,0,got ur mail dileep thank muchand look forward lot support veri less contact rememb one venugop mention tomorrow late shall tri come till goodnight dear,205
1762,0,sometim heart remembr someon veri much forget someon soon bcoz heart like everyon like one rememb everytim bslvyl,158
1763,0,joy father john john name joy father mandan,67
1764,1,hi ibh custom loyalti offer new nokia mobil onli txtauction txt word start get,142
1765,0,hi thi yiju regard textbook intro algorithm second edit sell,121
1766,1,sm auction nokia thi get win free auction take part send nokia hg suit land row w jhl,162
1767,0,k want us come,26
1768,0,littl difficult simpl way enter thi place,68
1769,0,ha us e thing got tv watch u thk go tonight u alreadi haf smth mind,123
1770,0,dont show far put new pictur facebook,61
1771,0,watch tv got new job,33
1772,0,good afternoon sexi bun goe job search wake first thought alway love wish fine happi know ador,156
1773,0,come whatev want,41
1774,0,ok chikku favourit song,50
1775,0,u see post facebook,41
1776,1,call freephon,33
1777,1,buy space invad chanc win orig arcad game consol press game arcad std wap charg see co uk game term set purcha,154
1778,0,wonder world th th ur style th ur smile th ur person rd ur natur nd ur sm st ur love friendship good morn dear,153
1779,1,loan ani purpo homeown tenant welcom previou refu still help call free text back help,162
1780,1,big brother alert comput ha select u k cash voucher call ntt po box cro bt landlin cost ppm mobil vari,154
1781,0,oh well c u later,22
1782,0,uncl atlanta wish guy great semest,53
1783,0,dear free messag without ani recharg hi hi hi,62
1784,0,dont search love let love find u whi call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,159
1785,0,dun believ u thk u told,34
1786,0,know whi god creat gap finger one made come amp fill gap hold hand love,151
1787,0,ye sura sun tv lol,26
1788,0,arun u transfr amt,27
1789,0,takin shower yeah leav done,52
1790,0,work eye philosophi text u later bit free chat,100
1791,0,u lost ill alway b u intend hurt u never knew u felt iwa marin itri tell urmom careabout u,164
1792,1,win winner mr foley ipod excit prize soon keep eye ur mobil visit www win co uk,132
1793,0,bad girl still rememb,39
1794,0,much gave morn,32
1795,0,hope alright babe worri might felt bit despar learn job wa fake wait come back love,158
1796,0,hey tell blake address carlo want meet got lost answer hi phone,120
1797,0,get opinion someth first,42
1798,0,one week leav put know time whi,46
1799,0,hit move,44
1800,0,excel spent lt gt year air forc iraq afghanistan stabl honest like travel,123
1801,0,wanna watch movi,24
1802,0,ok lor thanx school,29
1803,0,class get text,34
1804,0,bu leav lt gt,29
1805,0,god bless get good sleep dear pray,47
1806,1,today voda number end select receiv award match plea call quot claim code standard rate app,155
1807,0,nice day today love dearli,47
1808,0,aiyo bit pai seh noe scare dun rem die hee becom better lookin oredi leh,115
1809,0,aight ask roommat,37
1810,0,hou ani beer,64
1811,0,wan meet n combin part da rest da project go,83
1812,0,get ticket walsal tue th march mate get sat ill pay treat want go txt bak terri,124
1813,0,ye chat,24
1814,0,hi jess dont know work call u im home eve xxx,89
1815,0,sian aft meet supervisor got work liao u work,67
1816,0,go write ccna exam thi week,44
1817,0,well watch shrek b,33
1818,0,much dirti fellow,28
1819,0,dunno dat wat told ok lor,37
1820,0,probabl tomorrow even later tonight someth go,76
1821,0,say die man feel sad go want know would probabl gone late night,150
1822,0,think lift one,45
1823,0,u dun wan u dun like alreadi ah wat u still eat,84
1824,0,sent ur email id soon,24
1825,0,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem,119
1826,0,dude teresa hope okay didnt hear peopl call receiv packag sinc dec lt gt thot ld like know fantast year best read plu realli realli bam first aid usml work done,332
1827,0,hey gorgeou man work mobil number good one babe squishi mwah,80
1828,0,may call later pl,24
1829,1,hottest pic straight phone see get wet want xx text pic txt cost p textop g ga xxx,151
1830,0,way stay oh,34
1831,0,hello thanx take call got job start monday,65
1832,0,time ur flight tmr,27
1833,0,come,24
1834,0,rather promin bite mark right cheek,53
1835,0,septemb,28
1836,0,wet right,22
1837,0,husband,23
1838,1,hack chat get backdoor entri chat room fraction cost repli neo call subscrib p pm dp bcm box ldn wc n xx,161
1839,0,norm tomorrow finish co st test need sort librari stuff point tomo got letter today access til end march better get move,191
1840,0,yeah got list onli u joanna feel realli anti social,75
1841,0,offic na,23
1842,0,comingdown later,29
1843,0,super da good replac murali,37
1844,0,da good good player whi unsold,40
1845,0,hi u want join st later meet five call u class,93
1846,0,engalnd telli ha decid let watch mia elliot kiss damn,107
1847,1,free nokia motorola upto mth price liner free x net min txt mth free b tooth call mobileupd call optout wv,158
1848,0,dont want hear philosophi say happen,52
1849,0,got job wipro get everi thing life year,71
1850,0,cant get da laptop matric card wif lei,54
1851,0,dunno da next show aft toa payoh got,51
1852,1,thi nd time tri contact u u pound prize claim easi call onli p per min bt nation rate,154
1853,0,made payment dont much sorri would want fedex way,98
1854,0,play one day last year know even though veri good team like india,89
1855,0,k onli girl wait recept ah,50
1856,0,say thi slowli god love amp need clean heart blood send thi ten special peopl amp u c miracl tomorrow pl pl,163
1857,0,hate doe thi turn fun shop trip annoy day everyth would look hou,135
1858,0,sir wait call,32
1859,0,want come onlin,41
1860,0,could work reach consensu next meet,58
1861,0,aiyah wait lor u entertain hee,50
1862,0,last thing ever want wa hurt think would laugh embarass delet tag keep go far knew even fact even felt like would hurt show realli know wa messi wednesday bad problem time clean choo skype take pictur sleep want go mind thing make bed throw laundri top friend hou becau embarass underwear bra strewn bed pillow floor someth el use good least make bed,790
1863,0,let know kick,34
1864,0,call ok said call,35
1865,0,call number avail appoint ask connect call wahe fathima,100
1866,0,go buy wif meet later,46
1867,0,mmmm fuck fair know weak grin push knee expo belli pull head forget know wick smile,183
1868,0,today system sh get readi well also deep well,71
1869,0,mom want know,30
1870,0,aight text back,34
1871,0,dont know support ass srt thnk think ps play usb,75
1872,0,oh ok didnt know meant yep babi jontin,55
1873,1,guarant cash prize claim yr prize call custom servic repr,115
1874,1,would like see xxx pic hot nearli ban uk,84
1875,1,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,155
1876,0,watch tv got new job,33
1877,0,thi pen thing beyond joke wont biro master thi ever,97
1878,0,parti alex nichol,33
1879,1,u secret admir look make contact u find r reveal think ur special call,132
1880,0,see miss call dear brother gr day,64
1881,0,ok finish soon,23
1882,0,sorri help thi,32
1883,0,come slave go shell unconsci avoid make unhappi,128
1884,0,love ass enjoy doggi style,45
1885,0,think ask gym excu lazi peopl jog,62
1886,1,dear xxxxxxx u invit xchat thi final attempt contact u txt chat p msgrcvdhg suit land row w j hl ldn yr,155
1887,1,urgent plea call landlin abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm,152
1888,0,way home long dri spell season would,85
1889,0,gotta collect da car lei,32
1890,0,ok knacker came home went sleep good thi full time work lark,89
1891,0,probabl earlier station think,63
1892,1,call listen extrem dirti live chat go offic right total privaci one know sic listen p min mp,163
1893,0,good morn plz call sir,28
1894,1,freemsg hey u got video pic fone repli wild thi txt ill send u pic hurri im bore work xxx p rcvd stop stop,156
1895,0,uh head much left,41
1896,0,tot u outsid co darren say u come shop cour nice wat ju went sim lim look mp player,110
1897,0,aight sound good want come,53
1898,0,wat would u like ur birthday,31
1899,0,love work home,27
1900,0,miss vday parachut doubl coin u must know veri well,79
1901,0,sorri call later,22
1902,0,sister got place birla soft da,40
1903,1,free entri weekli comp chanc win ipod txt pod get entri std txt rate c appli detail,143
1904,0,wah oki oki muz make use e unlimit haha,59
1905,0,peopl mu tabl lambda,54
1906,0,stop old man get build snowman snow angel snowbal fight,84
1907,0,ello babe u ok,15
1908,0,hello beauti r u ok kinda ad row wiv walk pub want night wiv u miss u,106
1909,0,u go ikea str aft dat,30
1910,0,becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer,108
1911,0,lol grr mom take forev prescript pharmaci like minut away ugh,92
1912,0,real tho thi suck even cook whole electr hungri,87
1913,0,want go,16
1914,1,new textbuddi chat horni guy ur area p free receiv search postcod gaytextbuddi com txt one name rpl stop cnl,158
1915,0,time month mid time,51
1916,0,fffff text kadeem far gone,50
1917,0,leav yet ok lor go elsewh n eat u thk,63
1918,0,fujitsu seri lifebook good,34
1919,0,yar want scold u yest late alreadi got zhong se qing u ask b ask go w u lor n u still act real,160
1920,0,dont know bring food,29
1921,0,current food alon also,41
1922,0,sch fr dun haf da book sch home,68
1923,0,hello go villag pub either come accordingli ok,91
1924,0,ok,2
1925,0,call like lt gt time oh give us hyperten oh,66
1926,0,dont give monkey wot think certainli mind ani friend mine sleep wiv wud annoyin,135
1927,0,omg could snow tonit,30
1928,1,call tell u call claim prize u enter ur mobil person detail prompt care,144
1929,1,free st week entri textpod chanc win gb ipod cash everi wk txt vpod ts cs www textpod net custcar,141
1930,0,carri disturb,35
1931,0,pa tell went bath,35
1932,0,ju finish avatar nigro,25
1933,0,r u scratch,23
1934,0,hope great day,32
1935,0,either ani idea know anyplac someth,76
1936,0,plan usual stop find hella weed,45
1937,0,fact clean show know whi upset prioriti constantli want,106
1938,0,excel readi moan scream ecstasi,55
1939,1,peopl dog area call join like mind guy whi arrang thi even minapn ls bb,159
1940,0,dude avatar wa imp one point thought actual fli room almost tri hittng one reflex,124
1941,1,well done costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min,160
1942,0,k k whi cant come search job,46
1943,0,got lousi sleep kept wake everi hour see cat want come worri cold,120
1944,0,yeah leav coupl minut amp let know get mu,72
1945,0,call make sure dat woken,57
1946,0,hey go jazz power yoga hip hop kb yogasana,54
1947,0,batteri mr adew uncl aka egbon,49
1948,0,cant pick phone right pl send messag,51
1949,0,wait min stand bu stop,29
1950,0,oh ic thought meant mari jane,37
1951,0,haha realli oh deduct lesson tmr,67
1952,0,nah im goin wrk j wot bout u,41
1953,0,eat shit wait ur monkey face bitch u asshol,92
1954,0,good night go sleep,30
1955,0,aight grab someth eat text back mu,68
1956,0,k k whi cant come search job,46
1957,0,take someth pain move howev ani side next hr see doctor,87
1958,0,lol oh babe wont slide place midnight thank invit,95
1959,0,howz person stori,23
1960,1,guess somebodi know secretli fanci wanna find give us call landlin datebox essexcm xn p min,156
1961,0,lol would awesom payback,34
1962,1,free text messag valid decemb,74
1963,0,ye complet form clark also utter wast,59
1964,0,honeyb said sweetest world god laugh amp said wait u havnt met person read thi msg moral even god crack joke gm gn ge gn,158
1965,0,thank wa onli tesco quit nice gone speak soon,73
1966,0,featheri bowa someth guy know,76
1967,0,even cant close eye vava play umma,65
1968,0,laptop noe infra slow lar wan fast one,58
1969,1,guarant award even cashto claim ur award call free stop getstop php,131
1970,0,nvm ok,14
1971,0,enjoy ur life good night,27
1972,0,ye meet town co go gep home could text bu stop worri finish march ish,143
1973,0,askd u question hour befor answer,53
1974,0,cool cum,52
1975,0,delhi chennai still silent,31
1976,0,lol alright wa thinkin haha,39
1977,1,repli win weekli fifa world cup held send stop end servic,103
1978,0,boat still mom check yo half nake,83
1979,0,shhhhh nobodi suppo know,34
1980,0,sorri call later,22
1981,0,sorri call later meet ani thing relat trade plea call arul lt gt,89
1982,0,hey late amk need drink tea coff,61
1983,0,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac prob,150
1984,1,urgent plea call landlin abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm,153
1985,0,length e e top shorter n got fring thk go liao lazi dun wan distract u also,123
1986,0,antha num corrct dane,24
1987,0,call messag miss call,32
1988,0,sorri call later,22
1989,0,basket gettin full might tonight,49
1990,0,hi darlin ive got back realli nice night thank much lift see u tomorrow xxx,108
1991,0,valentin huh proof fb page ugh glad realli watch rupaul show tool,119
1992,1,free tone hope enjoy new content text stop unsubscrib help p provid tone co uk,129
1993,0,eh den sat u book e kb liao huh,34
1994,0,practi curtsey,38
1995,0,shall come get pickl,26
1996,0,lol boo wa hope laugh,32
1997,0,yeh def someth sat,31
1998,0,well leav class babe never came back hope nice sleep love,117
1999,0,lmao fish memori need,45
2000,0,b go sch mon si need take smth,55
2001,0,idea soon get convert live,38
2002,1,themob yo yo yo come new select hot download member get free click open next link sent ur fone,143
2003,0,india go draw seri mani year south african soil,80
2004,0,goodmorn today late lt decim gt min,54
2005,0,take ani major role commun outreach rock mel,62
2006,0,shop lor rain mah hard leav orchard,52
2007,0,hi birth lb oz mother babi brilliantli,81
2008,0,see forward messag proof,36
2009,0,keep go thi wa never intent run choo rather keep room clean say visitor mayb best choic ye want embarass mayb feel onc feel friend want drop buy say happen thi morn tri everyth know el,431
2010,0,dunno lei thk mum lazi go neva ask yet,62
2011,0,whatev want know rule talk earlier thi week start happen show respon yet everi week bend rule thi way way whatev tire thia argument everi week lt gt movi doesnt inlud preview still get,375
2012,0,beauti truth graviti read care heart feel light someon feel veri heavi someon leav goodmorn,160
2013,1,great news call freefon claim guarant cash gift speak live oper,118
2014,0,ambrith madurai met u arun dha marrg remembr,52
2015,0,read shame tell take run blame u ever realli ever long time,138
2016,0,princess kitti shave natur,42
2017,0,better bb wont use hi wife doctor,63
2018,0,ya came ago,22
2019,0,tomorrow onward eve work,38
2020,0,anyth lor toa payoh got place walk meh,50
2021,0,anybodi number still thought tact way ask alex,83
2022,1,u win music gift voucher everi week start txt word draw tsc www ldew com skillgam winaweek age ppermesssubscript,157
2023,0,ani movi theatr go watch unlimit movi pay onc,84
2024,0,u lunch alon bore,39
2025,0,ye obviou egg pert potato head speak soon,76
2026,0,nah man car meant cram full peopl,53
2027,0,got new job bar airport satsgettin per hour mean lie keep touch,94
2028,0,kalli readi bat nd inning,38
2029,0,thanx birthday alreadi,38
2030,0,ugh u apolog admit u wrong ask take u back,75
2031,0,noe la u wana pei bf oso rite k lor day den,62
2032,0,ye small kid boost secret energi,59
2033,0,im gonna miss u much,23
2034,0,avatar suppo subtoitl,37
2035,0,simpli sit watch match offic,45
2036,0,jot thing want rememb later,51
2037,0,oh sorri plea,24
2038,0,hey go lo lesson gym,43
2039,0,dont pack buy ani store like cereal must pack food pack gari someth ja miss,123
2040,0,alway make thing bigger,43
2041,0,dun wan watch infern affair,36
2042,0,wake afternoon sup,46
2043,1,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat stoptxt,155
2044,0,send pic like,35
2045,0,okay book alreadi includ one bugi,59
2046,0,aight fuck get later,32
2047,0,de call time ill tell k,50
2048,0,dont use hook ani,27
2049,0,much blackberri bold nigeria,40
2050,0,hi home calicut,37
2051,0,hey darlin pick u colleg u tell wen mt love pete xx,84
2052,1,call use ur min call cast p min mob vari servic provid aom gbp month aom box er u stop age onli,152
2053,0,oh wa thkin goin yogasana den nd go den rush parco nb oki lor u call readi,125
2054,0,late need go n get da laptop,45
2055,0,sir wait mail,32
2056,0,plea charg mobil get morn,52
2057,0,noth got msg frm tht unknown,39
2058,0,ugh fuck resub eve,32
2059,0,see hi shadow get earli spring yay,52
2060,0,one slice one breadstick lol,40
2061,0,hey want crave miss need love ahmad saeed al hallaq,96
2062,0,ani train tomorrow,31
2063,1,urgent mobil bonu caller prize thi nd attempt reach call asap box n qp ppm,158
2064,0,pass di ur contact n see wat u get red luv wid u blue u put smile face purpl u r reali hot pink u r swt orang thnk lyk u green reali wana go wid u yelow wnt u bck black jealou u brown miss nw plz giv one color,276
2065,0,co daddi arrang time c wat time fetch mah,51
2066,0,eldest know,26
2067,0,say hi drugdeal,36
2068,0,hard believ thing like thi say lie think twice befor say anyth,99
2069,1,eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight www getz co uk pobox w wq p,162
2070,1,sexi singl wait text age follow gender wither f e g f gay men text age follow g e g g,149
2071,0,good night dear sleepwel amp take care,44
2072,0,wondar song,23
2073,1,freemsg claim ur sm messag text ok use web mobil ur mate etc join txt com p wk c box la wu remov txtx stop,161
2074,0,yar lor actual quit fast co da ge slow wat haha,63
2075,0,must come later normal bath da afternoon mah,60
2076,0,trust even,41
2077,0,hey hun onbu goin meet want go meal donyt feel like cuz get last bu home sweet latelyxxx,133
2078,1,free rington repli real,30
2079,0,take like noon,27
2080,0,ani open mca,42
2081,0,aight wat happen side,40
2082,0,done oredi,17
2083,0,sweet well princess plea tell like dislik bed,81
2084,0,wish great semest,38
2085,0,moji love word rich day,48
2086,0,dude like buff wind,35
2087,0,alright babe,13
2088,1,well done england get offici poli rington colour flag yer mobil text tone flag opt txt eng stop box w wx,155
2089,0,give everyth want need actual could better yor got money get work get man pay rent even fill fuck ga tank ye stress depress even call home thanksgiv cuz tell noth,363
2090,0,kalli wont play first two odi,40
2091,0,get cash togeth text jason,47
2092,0,oh love soooo good hear omg miss much today sorri problem provid thank tming,154
2093,1,final chanc claim ur worth discount voucher today text ye savamob member offer mobil cs savamob pobox uz sub,159
2094,1,privat account statement show unredeem bonu point claim call identifi code expir,144
2095,0,probabl want pick,31
2096,0,done,11
2097,0,cutest girl world,44
2098,0,dice art class thru thank though ani idea time come tomorrow,88
2099,1,sm servic inclu text credit pl goto www comuk net login unsubscrib stop extra charg help po box ip,159
2100,0,oh howda gud gud math en samachara chikku,47
2101,0,thk lor dunno get ticket wat u,64
2102,0,audri lousi autocorrect,24
2103,0,site simul test give veri tough question test readi,95
2104,0,anyway seriou hit back becau otherwi light armand alway ha shit vomit,134
2105,0,fetch yun u fetch,23
2106,0,thank like well,32
2107,0,hmmm imagin come home rub feet make dinner help get readi date sure readi kind life,175
